2025-11-02 14:19:16 | demo_logger | DEBUG | <module>:23 | This is a DEBUG message (shows in file only by default)
2025-11-02 14:52:43 | inference | INFO | get_sentiment_model:115 | Loading XLM-R Sentiment model (first use)...
2025-11-02 14:52:47 | inference | INFO | get_sentiment_model:121 | XLM-R Sentiment model loaded successfully
2025-11-02 14:52:47 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (68.67%) using XLM-RoBERTa
2025-11-02 14:52:47 | inference | INFO | get_toxicity_model:169 | Loading Toxicity model (first use)...
2025-11-02 14:52:50 | inference | INFO | get_toxicity_model:175 | Toxicity model loaded successfully
2025-11-02 14:52:50 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 14:52:51 | preprocessing | INFO | detect_language:460 | Language detected: hi (confidence=0.85, method=script_analysis_short_text)
2025-11-02 14:52:51 | inference | INFO | predict_sentiment:286 | Using IndicBERT model for language: hi
2025-11-02 14:52:51 | inference | INFO | get_indic_sentiment_model:138 | Loading IndicBERT v2 Sentiment model (first use)...
2025-11-02 14:52:54 | inference | INFO | get_indic_sentiment_model:151 | IndicBERT v2 Sentiment model loaded successfully
2025-11-02 14:52:54 | inference | INFO | predict_sentiment:314 | Sentiment prediction: negative (97.20%) using IndicBERT
2025-11-02 14:52:54 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.05%)
2025-11-02 14:52:55 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:52:55 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (94.09%) using XLM-RoBERTa
2025-11-02 14:52:56 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 14:52:56 | preprocessing | INFO | detect_language:460 | Language detected: unknown (confidence=0.00, method=unknown)
2025-11-02 14:52:56 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (76.50%) using XLM-RoBERTa
2025-11-02 14:52:57 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (2.14%)
2025-11-02 14:52:57 | preprocessing | INFO | detect_language:460 | Language detected: urd (confidence=0.60, method=glotlid_latin)
2025-11-02 14:52:57 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (59.20%) using XLM-RoBERTa
2025-11-02 14:52:57 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (6.31%)
2025-11-02 14:52:58 | preprocessing | INFO | detect_language:460 | Language detected: hi (confidence=0.95, method=script_analysis)
2025-11-02 14:52:58 | inference | INFO | predict_sentiment:286 | Using IndicBERT model for language: hi
2025-11-02 14:52:58 | inference | INFO | predict_sentiment:314 | Sentiment prediction: neutral (99.83%) using IndicBERT
2025-11-02 14:52:58 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 14:52:59 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 14:52:59 | inference | INFO | predict_sentiment:345 | Sentiment prediction: negative (96.30%) using XLM-RoBERTa
2025-11-02 14:52:59 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (98.92%)
2025-11-02 14:58:21 | __main__ | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 14:58:21 | __main__ | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 14:58:21 | __main__ | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 14:58:21 | __main__ | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:00:13 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:00:13 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:00:13 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:00:13 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:16:53 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 15:16:53 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 15:17:58 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 15:17:58 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 15:17:59 | main | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'This is a wonderful test message!...'
2025-11-02 15:17:59 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:17:59 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:18:03 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 15:18:03 | inference | INFO | get_sentiment_model:115 | Loading XLM-R Sentiment model (first use)...
2025-11-02 15:18:06 | inference | INFO | get_sentiment_model:121 | XLM-R Sentiment model loaded successfully
2025-11-02 15:18:07 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (92.52%) using XLM-RoBERTa
2025-11-02 15:18:07 | inference | INFO | get_toxicity_model:169 | Loading Toxicity model (first use)...
2025-11-02 15:18:08 | inference | INFO | get_toxicity_model:175 | Toxicity model loaded successfully
2025-11-02 15:18:09 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 15:18:51 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 15:18:51 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 15:18:51 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'This is a wonderful product. I highly recommend it...'
2025-11-02 15:18:51 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:18:51 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:18:55 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 15:18:55 | inference | INFO | get_sentiment_model:115 | Loading XLM-R Sentiment model (first use)...
2025-11-02 15:18:57 | inference | INFO | get_sentiment_model:121 | XLM-R Sentiment model loaded successfully
2025-11-02 15:18:57 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (93.81%) using XLM-RoBERTa
2025-11-02 15:18:57 | inference | INFO | get_toxicity_model:169 | Loading Toxicity model (first use)...
2025-11-02 15:18:59 | inference | INFO | get_toxicity_model:175 | Toxicity model loaded successfully
2025-11-02 15:18:59 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 15:19:01 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'The stock price increased by $50 today. Market cap...'
2025-11-02 15:19:01 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:01 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:01 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 15:19:01 | inference | INFO | predict_sentiment:345 | Sentiment prediction: neutral (62.26%) using XLM-RoBERTa
2025-11-02 15:19:01 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 15:19:03 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'The meeting is scheduled for tomorrow at 3:00 PM. ...'
2025-11-02 15:19:03 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:03 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:03 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 15:19:03 | inference | INFO | predict_sentiment:345 | Sentiment prediction: neutral (83.88%) using XLM-RoBERTa
2025-11-02 15:19:03 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 15:19:04 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'The function returns None if the array is empty. U...'
2025-11-02 15:19:04 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:04 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:04 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 15:19:05 | inference | INFO | predict_sentiment:345 | Sentiment prediction: negative (48.79%) using XLM-RoBERTa
2025-11-02 15:19:05 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.04%)
2025-11-02 15:19:06 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'This fucking product is shit! I hate this damn thi...'
2025-11-02 15:19:06 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:06 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:06 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 15:19:06 | inference | INFO | predict_sentiment:345 | Sentiment prediction: negative (96.18%) using XLM-RoBERTa
2025-11-02 15:19:06 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (99.58%)
2025-11-02 15:19:08 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'यह बहुत बेवकूफ है और मुझे गुस्सा आ रहा है।...'
2025-11-02 15:19:08 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:08 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:08 | preprocessing | INFO | detect_language:460 | Language detected: hi (confidence=0.95, method=script_analysis)
2025-11-02 15:19:08 | inference | INFO | predict_sentiment:286 | Using IndicBERT model for language: hi
2025-11-02 15:19:08 | inference | INFO | get_indic_sentiment_model:138 | Loading IndicBERT v2 Sentiment model (first use)...
2025-11-02 15:19:11 | inference | INFO | get_indic_sentiment_model:151 | IndicBERT v2 Sentiment model loaded successfully
2025-11-02 15:19:11 | inference | INFO | predict_sentiment:314 | Sentiment prediction: negative (98.39%) using IndicBERT
2025-11-02 15:19:11 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (3.04%)
2025-11-02 15:19:12 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'You are such an idiot! I hate people like you, los...'
2025-11-02 15:19:12 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:12 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:12 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 15:19:13 | inference | INFO | predict_sentiment:345 | Sentiment prediction: negative (96.19%) using XLM-RoBERTa
2025-11-02 15:19:13 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (98.87%)
2025-11-02 15:19:14 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'OMG sooooo cooool!!!...'
2025-11-02 15:19:14 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:14 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:14 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=0.81, method=glotlid)
2025-11-02 15:19:15 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (89.71%) using XLM-RoBERTa
2025-11-02 15:19:15 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.07%)
2025-11-02 15:19:17 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'This is lit fr fr! No cap, best thing ever lol tbh...'
2025-11-02 15:19:17 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:17 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:17 | preprocessing | INFO | detect_language:460 | Language detected: jam (confidence=0.94, method=glotlid)
2025-11-02 15:19:17 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (92.83%) using XLM-RoBERTa
2025-11-02 15:19:17 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.08%)
2025-11-02 15:19:18 | __main__ | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'Yaar ye movie bahut mast hai! Must watch bro, ekdu...'
2025-11-02 15:19:18 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:19:18 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:19:18 | preprocessing | INFO | detect_language:460 | Language detected: urd (confidence=0.79, method=glotlid_medium)
2025-11-02 15:19:18 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (65.30%) using XLM-RoBERTa
2025-11-02 15:19:19 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (71.53%)
2025-11-02 15:22:31 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 15:22:31 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 15:24:44 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 15:24:44 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 15:24:56 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 15:24:56 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 15:24:57 | api | INFO | startup_event:459 | ================================================================================
2025-11-02 15:24:57 | api | INFO | startup_event:460 | Multilingual NLP Analysis API Starting...
2025-11-02 15:24:57 | api | INFO | startup_event:461 | Version: 1.0.0
2025-11-02 15:24:57 | api | INFO | startup_event:462 | Features: Profanity Filter, Domain Detection, Language Analysis,
2025-11-02 15:24:57 | api | INFO | startup_event:463 |           Sentiment Analysis, Toxicity Detection, Translation
2025-11-02 15:24:57 | api | INFO | startup_event:464 | ================================================================================
2025-11-02 15:25:45 | api | INFO | shutdown_event:470 | Multilingual NLP Analysis API Shutting Down...
2025-11-02 15:26:07 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 15:26:07 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 15:26:20 | inference | INFO | <module>:24 | Device: CPU
2025-11-02 15:26:20 | inference | INFO | <module>:30 | Running on CPU (GPU not available)
2025-11-02 15:26:21 | api | INFO | startup_event:459 | ================================================================================
2025-11-02 15:26:21 | api | INFO | startup_event:460 | Multilingual NLP Analysis API Starting...
2025-11-02 15:26:21 | api | INFO | startup_event:461 | Version: 1.0.0
2025-11-02 15:26:21 | api | INFO | startup_event:462 | Features: Profanity Filter, Domain Detection, Language Analysis,
2025-11-02 15:26:21 | api | INFO | startup_event:463 |           Sentiment Analysis, Toxicity Detection, Translation
2025-11-02 15:26:21 | api | INFO | startup_event:464 | ================================================================================
2025-11-02 15:26:36 | api | INFO | analyze_text:192 | Comprehensive analysis request: text_length=28
2025-11-02 15:26:36 | main | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'This is a wonderful product!...'
2025-11-02 15:26:36 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:26:36 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:26:42 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=1.00, method=glotlid)
2025-11-02 15:26:42 | inference | INFO | get_sentiment_model:115 | Loading XLM-R Sentiment model (first use)...
2025-11-02 15:26:46 | inference | INFO | get_sentiment_model:121 | XLM-R Sentiment model loaded successfully
2025-11-02 15:26:46 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (94.36%) using XLM-RoBERTa
2025-11-02 15:26:46 | inference | INFO | get_toxicity_model:169 | Loading Toxicity model (first use)...
2025-11-02 15:26:49 | inference | INFO | get_toxicity_model:175 | Toxicity model loaded successfully
2025-11-02 15:26:49 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.05%)
2025-11-02 15:26:51 | api | INFO | analyze_text:204 | Analysis complete: language=eng, sentiment=positive
2025-11-02 15:27:28 | api | INFO | analyze_text:192 | Comprehensive analysis request: text_length=55
2025-11-02 15:27:28 | main | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'I’m not procrastinating, I’m letting my ideas mari...'
2025-11-02 15:27:28 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:27:28 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:27:28 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=0.99, method=glotlid)
2025-11-02 15:27:29 | inference | INFO | predict_sentiment:345 | Sentiment prediction: neutral (47.04%) using XLM-RoBERTa
2025-11-02 15:27:29 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.06%)
2025-11-02 15:27:30 | api | INFO | analyze_text:204 | Analysis complete: language=eng, sentiment=neutral
2025-11-02 15:28:08 | api | INFO | analyze_text:192 | Comprehensive analysis request: text_length=94
2025-11-02 15:28:08 | main | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'Neque porro quisquam est qui dolorem ipsum quia do...'
2025-11-02 15:28:08 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:28:08 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:28:08 | preprocessing | INFO | detect_language:460 | Language detected: lat (confidence=0.72, method=glotlid_medium)
2025-11-02 15:28:08 | inference | INFO | predict_sentiment:345 | Sentiment prediction: neutral (58.85%) using XLM-RoBERTa
2025-11-02 15:28:08 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.21%)
2025-11-02 15:28:10 | api | INFO | analyze_text:204 | Analysis complete: language=lat, sentiment=neutral
2025-11-02 15:28:37 | api | INFO | analyze_text:192 | Comprehensive analysis request: text_length=240
2025-11-02 15:28:37 | main | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'Neque porro quisquam est qui dolorem ipsum quia do...'
2025-11-02 15:28:37 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:28:37 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:28:37 | preprocessing | INFO | detect_language:460 | Language detected: eng (confidence=0.81, method=glotlid)
2025-11-02 15:28:38 | inference | INFO | predict_sentiment:345 | Sentiment prediction: neutral (57.81%) using XLM-RoBERTa
2025-11-02 15:28:38 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (0.25%)
2025-11-02 15:28:40 | api | INFO | analyze_text:204 | Analysis complete: language=eng, sentiment=neutral
2025-11-02 15:29:40 | api | INFO | analyze_text:192 | Comprehensive analysis request: text_length=35
2025-11-02 15:29:40 | main | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'Sachhi Bhau, movie ekdam mast thi 🤣...'
2025-11-02 15:29:40 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:29:40 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:29:40 | preprocessing | INFO | detect_language:460 | Language detected: hin (confidence=0.62, method=glotlid_medium)
2025-11-02 15:29:41 | inference | INFO | predict_sentiment:345 | Sentiment prediction: positive (37.59%) using XLM-RoBERTa
2025-11-02 15:29:41 | inference | INFO | predict_toxicity:391 | Toxicity prediction: max=toxic (9.50%)
2025-11-02 15:29:43 | api | INFO | analyze_text:204 | Analysis complete: language=hin, sentiment=positive
2025-11-02 15:30:26 | api | INFO | analyze_text:192 | Comprehensive analysis request: text_length=18
2025-11-02 15:30:26 | main | INFO | analyze_text_comprehensive:32 | Starting comprehensive analysis for text: 'Chupe re madarchod...'
2025-11-02 15:30:26 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-02 15:30:26 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-02 15:30:26 | preprocessing | INFO | detect_language:460 | Language detected: slk (confidence=0.60, method=glotlid_latin)
